"Anho","Mes","1. Imacec","2. Producción de bienes","2.1. Minería","2.2. Industria","2.3. Resto de bienes","3. Comercio","4. Servicios","5. Imacec a costo de factores","6. Impuestos sobre los productos","7. Imacec no minero","Mes_num","Fecha","IMACEC_SA","Var_m_m_SA","Var_a_a_NSA"
2016,"Abril",95.682586415736,94.743707408176,89.597002707314,95.723637515452,96.984331495295,98.128459622636,97.163242983052,96.413683878747,89.324025737331,96.215808620143,4,2016-04-01,8.92463608767645e+40,-26.3209013738314,0.59618138490154
2016,"Mayo",95.645244476189,93.566654309391,99.522647014578,95.925688517706,88.471859682909,95.824998316157,97.926089086016,96.179406069683,90.996395110535,95.376093569661,5,2016-05-01,1.12789213542219e+41,26.3796220195058,2.06230274751569
2016,"Junio",93.170945164945,88.592663635936,94.729027733146,93.129306485013,81.695050829975,89.854247380677,97.423062087028,93.549263608569,89.875352084209,93.087462453483,6,2016-06-01,9.94761528215022e+40,-11.803487499036,1.13743721067041
2016,"Julio",89.155055922994,85.942771259049,93.768366022535,88.360029174811,79.740279668158,87.625859859433,91.363651832682,89.076978690916,89.82216360924,88.823714288649,7,2016-07-01,1.90243365295891e+41,91.2451978689395,1.04595227527935
2016,"Agosto",93.788559468867,88.861956835174,94.527991989839,93.974821140042,81.781104037383,87.454506238196,98.558565587522,94.008332515425,91.869310467097,93.771284066497,8,2016-08-01,1.66059298109758e+41,-12.7121737720095,3.19184895604696
2016,"Septiembre",91.523104870444,87.129571941303,95.519990228819,90.557313147831,79.822986835057,87.194416624358,94.772462079146,91.308223900782,93.377594996744,91.24247357358,9,2016-09-01,3.22394928349676e+41,94.144460454474,1.71435103693598
2016,"Octubre",94.784157524673,88.792031853453,95.067030601955,91.880609335617,82.944119323675,89.07743007496,99.582625852112,94.718309783466,95.344417352192,94.804099301224,10,2016-10-01,1.04813834854937e+41,-67.4889938897383,-0.367341126588094
2016,"Noviembre",98.747890454213,94.79498943113,100.06102905836,96.921189166688,90.271856696674,94.451357548141,102.76406263163,99.107420111007,95.614742236752,98.686647717652,11,2016-11-01,1.17346473444909e+41,11.9570461354814,1.34719914819068
2016,"Diciembre",103.04959852503,104.61156315649,104.34316379342,99.983322097497,108.47944075375,117.06373095827,96.770576134033,101.62607776485,115.39555818836,102.99187103493,12,2016-12-01,2.43087710174544e+41,107.153826645388,1.59579108030883
2017,"Enero",92.438952842838,99.785127698089,91.15030448182,91.829965316548,110.13980198153,94.209727197111,88.080625761294,92.759190536956,89.636312055176,92.579368644529,1,2017-01-01,1.32508605173408e+41,-45.4893852600517,0.433225065861986
2017,"Febrero",89.090700255374,101.37939639207,75.910131262466,88.012372805655,124.47947928904,86.660744296711,82.225886248765,89.282927351505,87.411048398492,90.165063465559,2,2017-02-01,2.91949241425367e+41,120.324741207039,-1.86948901722351
2017,"Marzo",100.37327526147,103.89976003784,75.844384153031,102.43174850151,119.92721286119,102.90628109673,97.758867944091,100.41576546262,100.00841755147,102.34501074026,3,2017-03-01,1.32403314883128e+41,-54.6485155307468,0.248862159895324
2017,"Abril",95.33097450643,92.525832952521,84.315198232912,90.140188537706,98.693485083591,95.631328470388,97.66522104675,95.661611321194,92.437314469156,96.237701993625,4,2017-04-01,1.05268162513553e+41,-20.4943149599593,-0.367477429778351
2017,"Mayo",96.932371210763,93.816383871451,93.282185893239,99.552279285641,90.163008625079,100.29236039227,98.824465698292,97.246687950669,94.182042343831,97.260432848981,5,2017-05-01,2.71993814437718e+41,158.381839240995,1.34572998545099
2017,"Junio",94.160553390173,87.151151545653,90.426973390699,93.038356943544,81.365960903717,93.369312817418,99.034591311167,94.316427057086,92.800295264812,94.49400332446,6,2017-06-01,3.43753339939227e+41,26.3827784649644,1.06214252037056
2017,"Julio",90.836498990871,87.354149360001,95.50278981763,91.575168822647,80.174685663858,90.222214258353,93.011069903151,90.748071597396,91.619646163395,90.507850449019,7,2017-07-01,1.16092365957711e+42,237.719965072151,1.88597612380987
2017,"Agosto",95.841529644507,90.531096477927,101.24176536391,95.724588141665,81.311191566189,92.267270866432,99.875237831479,95.818971667085,96.047090134415,95.45726717701,8,2017-08-01,1.17339616809989e+42,1.07436078332037,2.18893454304678
2017,"Septiembre",92.881641654405,87.473126317156,101.38750671069,89.713038918034,78.650534280571,91.184846945491,96.246459104188,92.663995436046,94.798808451178,92.251854511004,9,2017-09-01,2.17094619591559e+42,85.0139155841164,1.48436483430505
